Duty Id,Start Time,End Time,Start Stop Description,End Stop Description,Break Start Time,Break Duration,Break Stop Name
48,05:58,19:38,Montclair Transit Center,Hope and 9th,"[""09:56""]",[243],"[""Pomona Yard""]"
49,06:05,19:42,Pomona Transit Center,Ridgeway and Valley,"[""11:39""]",[253],"[""Pomona Yard""]"
50,06:10,19:34,Pomona Transit Center,Puente Hills Mall,"[""09:00"",""11:34"",""18:12""]","[28,286,16]","[""EMS Layover"",""Pomona Yard"",""Towne and Marketplace""]"
51,06:11,19:47,Temple Ave and S. Campus Dr,El Monte Station,"[""07:50"",""10:25""]","[20,307]","[""EMS Layover"",""Pomona Yard""]"
52,06:11,19:05,Montclair Transit Center,El Monte Station,"[""10:10"",""11:22""]","[18,188]","[""MTC Layover"",""PTC Layover""]"
53,06:13,19:51,Montclair Transit Center,Hope and 9th,"[""09:06"",""11:16"",""18:09""]","[17,189,21]","[""Valley and Temple Layover"",""Valley and Temple Layover"",""EMS Layover""]"
54,06:17,19:54,Pomona Transit Center,Montclair Transit Center,"[""10:04"",""11:46"",""17:27""]","[24,199,16]","[""EMS Layover"",""Pomona Yard"",""EMS Layover""]"
55,06:30,19:58,Pomona Transit Center,Claremont Transit Center,"[""09:40"",""11:16""]","[18,233]","[""EMS Layover"",""Pomona Yard""]"
56,06:31,20:02,Montclair Transit Center,Hope and 9th,"[""09:35"",""17:25"",""18:48""]","[293,16,17]","[""Pomona Yard"",""Grand Ave Park and Ride"",""Brea Mall Transit Center""]"
57,06:32,20:07,Montclair Transit Center,El Monte Station,"[""08:41"",""10:16""]","[17,253]","[""EMS Layover"",""Pomona Yard""]"
58,07:05,20:44,Claremont Transit Center,Mountain and Harrison,"[""07:55"",""10:00"",""12:34"",""19:16""]","[21,28,275,24]","[""Mountain and Harrison"",""EMS Layover"",""Pomona Yard"",""Towne and Marketplace""]"
59,07:40,20:42,Towne and Marketplace,Durward and D St,"[""09:44"",""11:47"",""18:28""]","[16,225,16]","[""Towne and Marketplace"",""Towne and Marketplace"",""Towne and Marketplace""]"
60,04:20,13:48,El Monte Station,Montclair Transit Center,"[""09:37"",""11:20""]","[36,18]","[""Valley and Temple Layover"",""EMS Layover""]"
61,13:53,19:19,El Monte Station,Citrus Gold Line Station,[],[],[]
62,05:22,17:05,San Dimas Park and Ride,Hope and 9th,"[""09:55"",""13:19""]","[38,46]","[""PTC Layover"",""Claremont Transit Center""]"
63,17:17,22:59,Durward and D St,Towne and Marketplace,"[""18:44"",""21:42""]","[16,18]","[""Towne and Marketplace"",""Durward and D St""]"
64,03:40,13:28,Montclair Transit Center,Hope and 9th,"[""07:35""]",[52],"[""CiCo Layover""]"
65,03:50,14:38,Montclair Transit Center,El Monte Station,"[""06:53"",""08:30"",""12:12""]","[16,58,16]","[""Puente Hills Mall Layover"",""PTC Layover"",""EMS Layover""]"
66,03:55,13:38,Grand Ave Park and Ride,Hope and 9th,"[""08:38"",""11:19""]","[52,26]","[""Ridgeway and Valley"",""Claremont Transit Center""]"
67,03:55,14:58,Montclair Transit Center,Hope and 9th,"[""08:19""]",[53],"[""Puente Hills Mall Layover""]"
68,04:00,13:02,Puente Hills Mall,El Monte Station,"[""06:50"",""08:41""]","[43,17]","[""Valley and Temple Layover"",""EMS Layover""]"
69,04:05,13:45,Puente Hills Mall,Pomona Transit Center,"[""09:31"",""11:43""]","[57,31]","[""PTC Layover"",""Puente Hills Mall Layover""]"
70,04:00,13:28,Grand Ave Park and Ride,Hope and 9th,"[""08:13""]",[55],"[""CiCo Layover""]"
71,04:10,15:34,Temple Ave and S. Campus Dr,El Monte Station,"[""07:01"",""09:12"",""11:05""]","[22,46,23]","[""Valley and Temple Layover"",""Valley and Temple Layover"",""EMS Layover""]"
72,04:25,14:06,El Monte Station,Temple Ave and S. Campus Dr,"[""06:38"",""08:03"",""10:00"",""12:26""]","[18,25,40,18]","[""Valley and Temple Layover"",""EMS Layover"",""CiCo Layover"",""Puente Hills Mall Layover""]"
73,04:25,13:39,Temple Ave and S. Campus Dr,El Monte Station,"[""09:41"",""12:19""]","[49,26]","[""Ridgeway and Valley"",""Claremont Transit Center""]"
74,04:26,14:02,Industry Park & Ride,Hope and 9th,"[""09:53""]",[50],"[""Valley and Temple Layover""]"
75,04:30,13:56,Montclair Transit Center,El Monte Station,"[""09:48""]",[51],"[""Puente Hills Mall Layover""]"
76,04:42,15:26,Montclair Transit Center,Hope and 9th,"[""10:18"",""12:21""]","[54,17]","[""Ridgeway and Valley"",""EMS Layover""]"
77,04:50,13:58,Montclair Transit Center,El Monte Station,"[""08:35""]",[52],"[""CiCo Layover""]"
78,04:55,15:10,Temple Ave and S. Campus Dr,El Monte Station,"[""10:30"",""12:32""]","[39,26]","[""Puente Hills Mall Layover"",""PTC Layover""]"
79,04:55,16:18,Montclair Transit Center,Pomona Transit Center,"[""09:19"",""10:31"",""12:44"",""14:37""]","[26,57,30,21]","[""Claremont Transit Center"",""PTC Layover"",""Puente Hills Mall Layover"",""PTC Layover""]"
80,04:55,15:15,Pomona Transit Center,Montclair Transit Center,"[""09:22"",""13:27""]","[36,17]","[""PTC Layover"",""Puente Hills Mall Layover""]"
81,04:58,16:38,San Dimas Park and Ride,Hope and 9th,"[""09:11"",""10:38"",""13:02""]","[17,49,26]","[""MTC Layover"",""CiCo Layover"",""EMS Layover""]"
82,05:06,17:01,Montclair Transit Center,Hope and 9th,"[""09:50"",""12:27""]","[44,57]","[""Puente Hills Mall Layover"",""Puente Hills Mall Layover""]"
